,client_id,transaction_volume,correspondant_name,correspondant_bank_name,date,direction
0,98,29000,Kellermann GMBH,N26,2020-06-19,out
1,80,16000,Runkel K.G,COMMERZBANK,2020-06-22,in
2,27,25000,Hilmer und Reiß G.m.b.H.,COMMERZBANK,2018-01-09,in
3,50,29000,Pabst G.m.b.H.,WISE,2018-05-13,out
4,35,46000,Heyn GmbH,SANTANDER,2018-04-20,in
5,71,31000,Zielke & Spindler GmbH,COMMERZBANK,2018-02-16,in
6,9,19000,Plum und SchlömerGesellschaft mbH,COMMERZBANK,2018-12-15,in
7,73,37000,Miller A.G.,COMMERZBANK,2021-12-27,in
8,40,11000,Bahr u. WeidmannOffene Handelsgesellschaft,REVOLUT,2019-03-03,in
9,61,49000,Lohse GmbH u. Co. KG,DEUTSCHE BANK,2020-02-27,in
10,14,15000,Büsing O.H.G.,WISE,2018-03-31,in
11,18,47000,Krone G.m.b.H.,SANTANDER,2019-09-11,out
12,69,43000,Hoffmann u. Schleich K.G,DEUTSCHE BANK,2021-09-15,in
13,77,16000,Jüttner AG und Co. KG,REVOLUT,2020-07-18,out
14,97,39000,Wegmann O.H.G,DEUTSCHE BANK,2020-02-04,in
15,44,22000,Eberle AG,COMMERZBANK,2018-12-13,in
16,13,41000,Rolle KG,DEUTSCHE BANK,2020-02-02,out
17,30,46000,Nehls und Wedel A.G.,DEUTSCHE BANK,2020-02-25,in
18,13,41000,Höller u. Steinbrecher GmbH & Co. KG,DEUTSCHE BANK,2020-12-12,in
19,98,27000,Hoyer KG,DEUTSCHE BANK,2019-11-23,out
20,89,43000,Neumaier und Reichelt K.G.,DEUTSCHE BANK,2021-12-27,in
21,96,21000,Andresen und Mücke GmbH & Co. KG,DEUTSCHE BANK,2021-02-17,out
22,99,41000,Schießl und Buhl AG u. Co. KG,SANTANDER,2020-10-21,out
23,9,37000,Ulrich AG & Co. KG,DEUTSCHE BANK,2020-08-25,out
24,42,38000,Reimer K.G.,N26,2020-08-07,in
